Post_oldid,Real_ID,date,COVID_Post,RiskFactor_2_CTA,SocialDisparities_3_CTA,Debunk_4_CTA,UncertaintyReduction_5_CTA,Testing_6_CTA,Vaccine_7_CTA,Mental_8_YesNo,Emotion_9_Number,Praise_10_Number,Pop_11_Number,Language_12_Number,Action_13_CTA,Positive_14a_Number,Negative_14b_Number,Individual_14c_Number,Collective_14d_Number,State_ recode,Gov_poli,Trifecta,White_percent,minority_percent,Poverty_percent,ProspertiyRanking,year,month,day,state,cases
7870,7870,12/29/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,29,NM,1249
7870,6253,12/31/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,31,TN,6122
7871,3201,10/2/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,6,2,2,67.7,32.3,9.4,11,2020,10,2,CO,731
7871,7871,12/24/20,1,1,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,31,2,2,36.8,63.2,17.5,45,2020,12,24,NM,1924
7872,7872,12/24/20,1,88,88,88,2,88,2,0,0,0,0,0,2,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,24,NM,1924
7873,7873,12/23/20,1,88,88,88,1,1,88,0,0,0,0,0,1,4,0,0,4,31,2,2,36.8,63.2,17.5,45,2020,12,23,NM,1167
7873,1991,12/26/20,1,88,88,88,1,88,1,0,0,0,0,0,1,0,0,0,0,4,1,1,54.1,45.9,13.5,40,2020,12,26,AZ,6284
7874,7874,12/23/20,1,88,88,88,0,88,0,0,0,0,3,0,0,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,12,23,NM,1167
7874,994,2/1/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,2,1,3,60.2,39.8,10.2,39,2020,2,1,AK,
7875,995,12/12/20,1,88,88,88,6,88,6,0,0,0,0,0,6,0,0,0,0,2,1,3,60.2,39.8,10.2,39,2020,12,12,AK,520
7875,7875,12/22/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,22,NM,1267
7876,996,12/12/20,1,88,88,88,3,88,3,0,0,0,0,0,3,0,0,0,0,2,1,3,60.2,39.8,10.2,39,2020,12,12,AK,520
7876,7876,12/21/20,1,88,88,88,2,88,0,0,0,0,0,0,0,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,21,NM,815
7877,6312,12/12/20,1,88,88,88,1,88,1,0,0,0,0,0,1,0,0,0,0,45,2,3,92.6,7.4,10.1,6,2020,12,12,VT,85
7877,7877,12/21/20,1,88,88,88,2,2,88,0,0,0,0,0,2,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,12,21,NM,815
7878,3907,10/24/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,8,2,2,61.7,38.3,11.2,20,2020,10,24,DE,160
7878,7878,12/21/20,1,88,88,88,88,88,88,0,0,0,0,0,0,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,12,21,NM,815
7879,7879,12/16/20,1,88,88,88,0,88,0,0,0,0,1,0,0,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,16,NM,1800
7880,3908,11/10/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,8,2,2,61.7,38.3,11.2,20,2020,11,10,DE,204
7880,7880,12/16/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,16,NM,1800
7881,7881,12/15/20,1,88,88,88,2,88,0,0,0,0,0,0,0,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,15,NM,1258
7882,7882,12/15/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,15,NM,1258
7883,353,5/28/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,1,1,1,65.3,34.7,15.6,44,2020,5,28,AL,498
7883,7883,12/15/20,1,88,88,88,3,88,3,0,0,0,1,0,3,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,12,15,NM,1258
7884,3909,10/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,8,2,2,61.7,38.3,11.2,20,2020,10,12,DE,159
7884,7884,12/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,2,0,0,2,31,2,2,36.8,63.2,17.5,45,2020,12,12,NM,1793
7885,7885,12/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,12,12,NM,1793
7886,7886,3/21/20,1,88,88,88,0,88,88,0,0,0,0,0,0,1,0,0,1,50,1,1,83.7,16.3,9.9,28,2020,3,21,WY,2
7886,3202,10/23/20,1,88,88,88,1,88,88,0,0,0,0,1,1,0,0,0,0,6,2,2,67.7,32.3,9.4,11,2020,10,23,CO,1428
7887,7887,10/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,10,12,NM,379
7887,4739,9/24/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,10,1,1,52,48,13.5,37,2020,9,24,GA,1537
7888,3910,11/6/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,8,2,2,61.7,38.3,11.2,20,2020,11,6,DE,282
7888,7888,10/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,10,12,NM,379
7889,7889,9/12/20,1,88,1,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,9,12,NM,98
7890,7890,8/12/20,1,88,88,88,2,88,88,0,0,0,0,0,2,2,0,0,2,31,2,2,36.8,63.2,17.5,45,2020,8,12,NM,173
7890,6313,12/2/20,1,88,88,88,2,2,88,0,0,0,0,0,2,2,0,0,2,45,2,3,92.6,7.4,10.1,6,2020,12,2,VT,222
7891,6314,12/1/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,45,2,3,92.6,7.4,10.1,6,2020,12,1,VT,67
7891,7891,8/12/20,1,88,88,88,0,88,88,0,0,0,0,0,0,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,8,12,NM,173
7892,7892,7/12/20,1,88,88,88,1,1,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,7,12,NM,255
7893,7893,7/12/20,1,88,88,88,1,1,88,0,0,0,0,1,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,7,12,NM,255
7893,1992,7/2/20,1,88,88,88,2,88,88,0,0,0,0,0,2,1,0,0,1,4,1,1,54.1,45.9,13.5,40,2020,7,2,AZ,3343
7894,7894,6/12/20,1,88,88,88,88,88,88,0,0,0,0,0,1,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,6,12,NM,158
7894,3911,12/1/20,1,88,88,88,1,1,88,0,0,0,0,0,1,0,0,0,0,8,2,2,61.7,38.3,11.2,20,2020,12,1,DE,689
7895,7895,6/12/20,1,88,88,88,88,88,88,0,0,0,0,0,1,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,6,12,NM,158
7896,7896,5/12/20,1,88,88,88,1,1,1,0,0,0,0,1,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,5,12,NM,143
7896,4874,12/19/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,19,ID,836
7897,7897,5/12/20,1,88,88,88,2,2,88,0,0,0,0,0,2,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,5,12,NM,143
7897,4875,12/5/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,5,ID,1023
7898,4876,12/25/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,25,ID,0
7898,7898,5/12/20,1,88,88,88,1,1,1,0,0,0,0,1,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,5,12,NM,143
7899,7899,4/12/20,1,88,88,88,3,88,88,0,0,0,0,0,3,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,4,12,NM,71
7899,4877,12/12/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,12,1,1,81.6,18.4,11,23,2020,12,12,ID,769
7900,7900,4/12/20,1,88,88,88,88,88,88,0,0,0,0,0,3,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,4,12,NM,71
7900,5038,12/23/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,14,1,1,78.4,21.6,11.9,35,2020,12,23,IN,4679
7901,7901,4/12/20,1,88,88,88,88,88,88,0,0,0,0,0,3,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,4,12,NM,71
7901,3912,2/24/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,8,2,2,61.7,38.3,11.2,20,2020,2,24,DE,
7902,7902,3/12/20,1,88,88,88,2,2,88,0,0,0,0,0,2,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,3,12,NM,2
7902,354,1/31/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,1,1,1,65.3,34.7,15.6,44,2020,1,31,AL,
7903,7903,3/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,3,12,NM,2
7904,7904,2/12/20,1,88,88,88,88,88,88,0,0,0,0,0,4,1,0,0,1,31,2,2,36.8,63.2,17.5,45,2020,2,12,NM,
7905,3203,7/10/20,1,88,88,88,0,88,88,0,1,0,0,0,0,0,0,0,0,6,2,2,67.7,32.3,9.4,11,2020,7,10,CO,606
7905,7905,2/12/20,1,88,88,88,3,88,88,0,0,0,0,0,3,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,2,12,NM,
7906,997,4/19/20,1,25,88,88,25,88,88,0,0,0,2,0,25,0,0,0,0,2,1,3,60.2,39.8,10.2,39,2020,4,19,AK,5
